,isced11,genero,edad,edad_ingresos,geo,periodo,satisfaccion_general,mediana_ingresos,media_ingresos,no_afrontar_imprevistos(%)
194,ED0-2,F,Y16-24,Y16-24,LU,2023-01-01,7.3,35088.0,42908.0,24.1
195,ED0-2,F,Y16-24,Y16-24,LU,2024-01-01,7.7,35624.0,43890.0,22.5
196,ED0-2,F,Y16-24,Y16-24,LV,2021-01-01,7.3,9167.0,10317.0,41.9
197,ED0-2,F,Y16-24,Y16-24,LV,2022-01-01,7.7,10449.0,11476.0,44.1
198,ED0-2,F,Y16-24,Y16-24,LV,2023-01-01,7.5,10835.0,12218.0,44.8
199,ED0-2,F,Y16-24,Y16-24,LV,2024-01-01,7.3,12573.0,14357.0,45.2
200,ED0-2,F,Y16-24,Y16-24,MT,2021-01-01,6.9,17380.0,19276.0,15.7
201,ED0-2,F,Y16-24,Y16-24,MT,2022-01-01,7.1,19092.0,20875.0,15.4
202,ED0-2,F,Y16-24,Y16-24,MT,2023-01-01,8.5,19882.0,24797.0,15.9
203,ED0-2,F,Y16-24,Y16-24,MT,2024-01-01,7.9,20041.0,23796.0,18.3
204,ED0-2,F,Y16-24,Y16-24,NL,2021-01-01,7.8,25439.0,27030.0,15.1
205,ED0-2,F,Y16-24,Y16-24,NL,2022-01-01,7.6,26272.0,28441.0,14.7
206,ED0-2,F,Y16-24,Y16-24,NL,2023-01-01,7.0,26515.0,29233.0,15.9
207,ED0-2,F,Y16-24,Y16-24,NL,2024-01-01,7.3,28522.0,30950.0,17.0
208,ED0-2,F,Y16-24,Y16-24,NO,2021-01-01,7.7,27564.0,29602.0,23.4
209,ED0-2,F,Y16-24,Y16-24,NO,2022-01-01,7.5,30788.0,36070.0,22.0
210,ED0-2,F,Y16-24,Y16-24,NO,2023-01-01,7.7,33690.0,36666.0,24.2
211,ED0-2,F,Y16-24,Y16-24,NO,2024-01-01,7.4,33445.0,33365.0,23.7
212,ED0-2,F,Y16-24,Y16-24,PL,2021-01-01,8.1,7450.0,8149.0,24.7
